"letra","CAUSA","A","NombreAfec","LSex","LInf","LSup","Triv","errad","Nin","Ninmtobs","No_CBD","No_Aph","FETAL","capitulo","Lista1","Grupo1","Lista5","ACTUALIZAC","year_modif","prinmorta","prinmorbi","lm_morbi","lm_morta","lgbd165","lOMSBeck","lgbd190","NotDiaria","NotSemanal","SistemaEspecial","birmm","poco_util","epi_morta","epi_morta_m5","Causes","CATEGORIA","CATCOD","NV0","NV1"
"A","A02","F","Otras infecciones debidas a Salmonella","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001","F","F","F","1",,"F","T","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A020","F","Enteritis debida a Salmonella","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","F","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A021","F","Sepsis debida a Salmonella","F","F","F","F","F","F","F","F","F","F","01","004","001","006","C","2010 CORRECCION TITULOS","001","001"," 01E"," 01E","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A022","F","Infecciones localizadas debidas a Salmonella","F","F","F","F","F","F","F","F","F","F","01","004","001","006","C","2003 (SE ELIMINO DAGA)","001","001"," 01E"," 01E","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A028","F","Otras infecciones especificadas como debidas a Salmonella","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A029","F","Infección debida a Salmonella, no especificada","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A03","F","Shigelosis","F","F","F","F","F","F","F","F","F","F","01","004","001","003","F","F","001","001","F","F","F","1",,"F","T","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A030","F","Shigelosis debida a Shigella dysenteriae","F","F","F","F","F","F","F","F","F","F","01","004","001","003","F","F","001","001"," 01D"," 01D","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A031","F","Shigelosis debida a Shigella flexneri","F","F","F","F","F","F","F","F","F","F","01","004","001","003","F","F","001","001"," 01D"," 01D","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A032","F","Shigelosis debida a Shigella boydii","F","F","F","F","F","F","F","F","F","F","01","004","001","003","F","F","001","001"," 01D"," 01D","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A033","F","Shigelosis debida a Shigella sonnei","F","F","F","F","F","F","F","F","F","F","01","004","001","003","F","F","001","001"," 01D"," 01D","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A038","F","Otras shigelosis","F","F","F","F","F","F","F","F","F","F","01","004","001","003","F","F","001","001"," 01D"," 01D","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A039","F","Shigelosis de tipo no especificado","F","F","F","F","F","F","F","F","F","F","01","004","001","003","F","F","001","001"," 01D"," 01D","10","1","10","F","F","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A04","F","Otras infecciones intestinales bacterianas","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001","F","F","F","1",,"F","T","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A040","F","Infección debida a Escherichia coli enteropatógena","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A041","F","Infección debida a Escherichia coli enterotoxígena","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A042","F","Infección debida a Escherichia coli enteroinvasiva","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A043","F","Infección debida a Escherichia coli enterohemorrágica","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A044","F","Otras infecciones intestinales debidas a Escherichia coli","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A045","F","Enteritis debida a Campylobacter","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A046","F","Enteritis debida a Yersinia enterocolitica","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A047","F","Enterocolitis debida a Clostridium difficile","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A048","F","Otras infecciones intestinales bacterianas especificadas","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A049","F","Infección intestinal bacteriana, no especificada","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A05","F","Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte","F","F","F","F","F","F","F","F","F","F","01","004","001","006","C","2006 (SE AGREGO NCOP)","001","001","F","F","F","1",,"F","T","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A050","F","Intoxicación alimentaria estafilocócica","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A051","F","Botulismo","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","T","F","F","5","T","T","T","GASTRO","11","3","1"
"A","A052","F","Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii]","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A053","F","Intoxicación alimentaria debida a Vibrio parahaemolyticus","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A054","F","Intoxicación alimentaria debida a Bacillus cereus","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A058","F","Otras intoxicaciones alimentarias debidas a bacterias especificadas","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A059","F","Intoxicación alimentaria bacteriana, no especificada","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01E"," 01E","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A06","F","Amebiasis","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001","F","F","F","1",,"F","F","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A060","F","Disentería amebiana aguda","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A061","F","Amebiasis intestinal crónica","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","T","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A062","F","Colitis amebiana no disentérica","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","T","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A063","F","Ameboma intestinal","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A064","F","Absceso amebiano del hígado","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","T","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A065","F","Absceso amebiano del pulmón","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","F","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A066","F","Absceso amebiano del cerebro","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","F","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A067","F","Amebiasis cutánea","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","F","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A068","F","Infección amebiana de otras localizaciones","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","F","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A069","F","Amebiasis, no especificada","F","F","F","F","F","F","F","F","F","F","01","004","001","004","F","F","001","001"," 01F"," 01F","10","1","10","F","T","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A07","F","Otras enfermedades intestinales debidas a protozoarios","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001","F","F","F","1",,"F","F","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A070","F","Balantidiasis","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A071","F","Giardiasis [lambliasis]","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A072","F","Criptosporidiosis","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A073","F","Isosporiasis","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","F","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A078","F","Otras enfermedades intestinales especificadas debidas a protozoarios","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","F","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A079","F","Enfermedad intestinal debida a protozoarios, no especificada","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A08","F","Infecciones intestinales debidas a virus y otros organismos especificados","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001","F","F","F","1",,"F","T","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A080","F","Enteritis debida a rotavirus","F","F","F","F","F","T","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","T","F","5","T","F","F","GASTRO","11","3","1"
"A","A081","F","Gastroenteropatía aguda debida al agente de Norwalk","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A082","F","Enteritis debida a adenovirus","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A083","F","Otras enteritis virales","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A084","F","Infección intestinal viral, sin otra especificación","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A085","F","Otras infecciones intestinales especificadas","F","F","F","F","F","F","F","F","F","F","01","004","001","006","F","F","001","001"," 01G"," 01G","10","1","10","F","T","F","F","5","F","T","F","GASTRO","11","3","1"
"A","A09","F","Otras gastroenteritis y colitis de origen infeccioso y no especificado","F","F","F","F","F","F","F","F","F","F","01","003","001","005","A","2010 CAMBIO X SUBCATEGORIAS Y CAMBIO DE TITULO","001","001"," 01H"," 01H","F","1",,"F","T","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A090","F","Otras gastroenteritis y colitis de origen infeccioso","F","F","F","F","F","F","F","F","F","F","01","003","001","005","A","2010 NUEVA CATEGORIA","001","001"," 01H"," 01H","10","1","10","F","T","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A099","F","Gastroenteritis y colitis de origen no especificado","F","F","F","F","F","F","F","F","F","F","01","003","001","005","A","2010 NUEVA CATEGORIA","001","001"," 01H"," 01H","10","1","10","F","T","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A09X","F","Diarrea y gastroenteritis de presunto origen infeccioso","F","F","F","F","F","F","F","F","F","F","01","003","001","005","B","2010 CAMBIO X SUBCATEGORIAS","001","001"," 01H"," 01H","10","1","10","F","F","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A15","F","Tuberculosis respiratoria, confirmada bacteriológica e histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999","F","F","F","2",,"F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A150","F","Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A151","F","Tuberculosis del pulmón, confirmada únicamente por cultivo","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A152","F","Tuberculosis del pulmón, confirmada histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A153","F","Tuberculosis del pulmón, confirmada por medios no especificados","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A154","F","Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999"," 02B"," 02B","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A155","F","Tuberculosis de laringe, traquea y bronquios, confirmada bacteriológica e histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999"," 02B"," 02B","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A156","F","Pleuresía tuberculosa, confirmada bacteriológica e histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999"," 02B"," 02B","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A157","F","Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A158","F","Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999"," 02B"," 02B","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A159","F","Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A16","F","Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999","F","F","F","2",,"F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A160","F","Tuberculosis del pulmón, con examen bacteriológico e histológico negativos","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A161","F","Tuberculosis de pulmón, sin examen bacteriológico e histológico","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A162","F","Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A163","F","Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999"," 02B"," 02B","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A164","F","Tuberculosis de laringe, traquea y bronquios, sin mención de confirmación bacteriológica o histológica","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999"," 02B"," 02B","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A165","F","Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999"," 02B"," 02B","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A167","F","Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A168","F","Otras tuberculosis respiratorias, sin mención de confirmación","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","999","999"," 02B"," 02B","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A169","F","Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica","F","028D","120A","F","F","F","F","F","F","F","01","005","001","007","F","F","002","002"," 02A"," 02A","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A170","F","Meningitis tuberculosa","F","028D","120A","F","F","T","F","F","F","F","01","006","001","008","F","F","003","003"," 02C"," 02C","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A171","F","Tuberculoma meníngeo","F","028D","120A","F","F","T","F","F","F","F","01","006","001","008","F","F","003","003"," 02C"," 02C","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A178","F","Otras tuberculosis del sistema nervioso","F","028D","120A","F","F","T","F","F","F","F","01","006","001","008","F","F","003","003"," 02C"," 02C","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A179","F","Tuberculosis del sistema nervioso, no especificada","F","028D","120A","F","F","T","F","F","F","F","01","006","001","008","F","F","003","003"," 02C"," 02C","3","2","3","F","T","T","F","5","T","F","T","AC","20","3","10"
"A","A18","F","Tuberculosis de otros órganos","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","F","F","999","999","F","F","F","2",,"F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A180","F","Tuberculosis de huesos y articulaciones","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","F","F","005","005"," 02E"," 02E","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A181","F","Tuberculosis del aparato genitourinario","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","C","2003 (SE ELIMINO DAGA)","006","006"," 02F"," 02F","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A182","F","Linfadenopatía periférica tuberculosa","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","F","F","999","999"," 02Z"," 02Z","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A183","F","Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","F","F","004","004"," 02D"," 02D","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A184","F","Tuberculosis de la piel y el tejido subcutáneo","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","F","F","999","999"," 02Z"," 02Z","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A185","F","Tuberculosis del ojo","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","C","2003 (SE ELIMINO DAGA)","999","999"," 02Z"," 02Z","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A186","F","Tuberculosis del oído","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","C","2003 (SE ELIMINO DAGA)","999","999"," 02Z"," 02Z","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A187","F","Tuberculosis de glándulas suprarrenales","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","F","F","999","999"," 02Z"," 02Z","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A188","F","Tuberculosis de otros órganos especificados","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","F","F","999","999"," 02Z"," 02Z","3","2","3","F","T","T","F","5","F","F","T","AC","20","3","10"
"A","A19","F","Tuberculosis miliar","F","028D","120A","F","F","F","F","F","F","F","01","006","001","008","F","F","999","999","F","F","F","2",,"F","T","T","F","5","F","F","T","OVPD","02","1","2"
"A","A36","F","Difteria","F","F","F","F","F","T","F","F","F","F","01","009","001","014","F","F","010","010","F","F","F","4",,"F","T","T","F","5","F","F","F","OVPD","02","1","2"
"A","A37","F","Tos ferina [tos convulsiva]","F","F","F","F","F","T","F","F","F","F","01","010","001","015","F","F","011","011","F","F","F","4",,"F","T","T","F","5","F","F","T","OVPD","02","1","2"
"A","A46X","F","Erisipela","F","F","F","F","F","F","F","F","F","F","01","025","001","018","F","F","012","012"," 03F"," 03F","38","88","38","F","T","F","F","5","F","F","T","CELL","18","3","8"
"A","A51","F","Sífilis precoz","F","F","F","F","F","F","F","F","F","F","01","013","001","020","F","F","016","016","F","F","F","88",,"F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A510","F","Sífilis genital primaria","F","F","F","F","F","F","F","F","F","F","01","013","001","020","F","F","016","016"," 04B"," 04B","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A511","F","Sífilis primaria anal","F","F","F","F","F","F","F","F","F","F","01","013","001","020","F","F","016","016"," 04B"," 04B","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A512","F","Sífilis primaria en otros sitios","F","F","F","F","F","F","F","F","F","F","01","013","001","020","F","F","016","016"," 04B"," 04B","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A513","F","Sífilis secundaria de piel y membranas mucosas","F","F","F","F","F","F","F","F","F","F","01","013","001","020","F","F","016","016"," 04B"," 04B","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A514","F","Otras sífilis secundarias","F","F","F","F","F","F","F","F","F","F","01","013","001","020","F","F","016","016"," 04B"," 04B","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A515","F","Sífilis precoz, latente","F","F","F","F","F","F","F","F","F","F","01","013","001","020","F","F","016","016"," 04B"," 04B","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A519","F","Sífilis precoz, sin otra especificación","F","F","F","F","F","F","F","F","F","F","01","013","001","020","F","F","016","016"," 04B"," 04B","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A52","F","Sífilis tardía","F","002A","120A","F","F","F","F","F","F","F","01","013","001","021","F","F","016","016","F","F","F","88",,"F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A520","F","Sífilis cardiovascular","F","002A","120A","F","F","F","F","F","F","F","01","013","001","021","F","F","016","016"," 04C"," 04C","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A521","F","Neurosífilis sintomática","F","002A","120A","F","F","F","F","F","F","F","01","013","001","021","F","F","016","016"," 04C"," 04C","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A522","F","Neurosífilis asintomática","F","002A","120A","F","F","F","F","F","F","F","01","013","001","021","F","F","016","016"," 04C"," 04C","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A523","F","Neurosífilis no especificada","F","002A","120A","F","F","F","F","F","F","F","01","013","001","021","F","F","016","016"," 04C"," 04C","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
"A","A527","F","Otras sífilis tardías sintomáticas","F","002A","120A","F","F","F","F","F","F","F","01","013","001","021","F","F","016","016"," 04C"," 04C","5","88","5","F","T","F","F","5","F","F","T","AC","20","3","10"
